Fabricated Data for an Apiary season 2018
Apiary Hive# rand=1-20,Varroa Mites observed                  rand=0-133,"Hours of Sun,   Apr-Oct, 2018         rand=509-3374    ",Wax Moth Observed             rand=0-15,Total Honey Collected      (weight in g)         rand=2000-20000,Swarm Attempt (Yes = 1; 0 = No),Queen Cells produced               rand=0-6,,
1,28,573.00,11,10814,1.00,1.00,,
1,88,2906.00,3,4458,1.00,2.00,,
1,110,1278.00,1,5676,0.00,6.00,,
1,124,763.00,1,4449,0.00,5.00,,
1,44,1387.00,1,11728,1.00,4.00,,
1,125,2394.00,6,10683,1.00,4.00,,
1,28,1160.00,8,4848,1.00,5.00,,
1,124,1234.00,15,13027,0.00,1.00,,
2,6,2366.00,3,3917,0.00,3.00,,
2,133,2980.00,15,13383,0.00,5.00,,
2,34,2165.00,10,2763,0.00,6.00,,
2,0,996.00,14,2353,0.00,2.00,,
2,5,1037.00,7,3581,0.00,6.00,,
2,125,2424.00,13,2526,0.00,5.00,,
2,32,2641.00,6,13448,0.00,6.00,,
2,100,1163.00,14,6860,0.00,2.00,,
2,132,3195.00,9,10997,1.00,1.00,,
2,39,2147.00,14,14809,1.00,2.00,,
2,106,2172.00,13,9082,1.00,5.00,,
2,120,2302.00,12,10569,0.00,5.00,,
2,114,2044.00,8,7491,1.00,2.00,,
2,18,1757.00,9,8768,1.00,1.00,,
2,56,1601.00,11,5217,0.00,4.00,,
2,8,1590.00,14,2662,1.00,0.00,,
2,2,1002.00,9,6219,1.00,4.00,,
2,89,1156.00,1,7738,1.00,0.00,,
2,80,1987.00,2,1919,0.00,1.00,,
2,83,3024.00,0,14422,1.00,0.00,,
2,69,992.00,5,6190,0.00,2.00,,
2,128,1414.00,11,9039,0.00,6.00,,
2,62,1789.00,2,7409,0.00,4.00,,
2,100,2299.00,4,9957,0.00,0.00,,
2,125,1612.00,1,4112,1.00,2.00,,
2,8,667.00,14,12012,0.00,0.00,,
2,3,1395.00,12,6815,0.00,5.00,,
2,66,1818.00,11,14034,1.00,1.00,,
2,107,2385.00,13,4796,0.00,5.00,,
2,40,2615.00,9,9956,1.00,3.00,,
2,38,3018.00,13,10616,1.00,5.00,,
2,70,3251.00,10,1399,0.00,6.00,,
2,116,687.00,13,4346,1.00,4.00,,
2,97,2848.00,3,6274,1.00,3.00,,
2,53,2262.00,3,5516,1.00,6.00,,
2,84,839.00,2,5895,1.00,3.00,,
2,18,2987.00,5,7803,0.00,5.00,,
2,36,728.00,8,9610,0.00,4.00,,
2,57,2659.00,15,7492,1.00,6.00,,
2,32,516.00,14,11505,0.00,6.00,,
2,100,2195.00,1,11085,0.00,0.00,,
2,76,2191.00,2,14021,0.00,3.00,,
2,41,1978.00,10,7276,1.00,4.00,,
2,47,2685.00,15,4935,0.00,4.00,,
2,65,955.00,10,8917,0.00,4.00,,
2,11,3092.00,15,11296,0.00,5.00,,
2,55,2523.00,6,9548,0.00,1.00,,
2,37,1799.00,2,7215,0.00,0.00,,
2,1,1612.00,0,3162,0.00,1.00,,
2,128,1259.00,2,6859,0.00,4.00,,
2,96,1462.00,3,5014,0.00,1.00,,
2,35,1168.00,0,11429,1.00,1.00,,
3,15,1906.00,11,10087,0.00,4.00,,
3,88,3368.00,3,9784,1.00,1.00,,
3,102,3313.00,15,9848,0.00,4.00,,
3,127,817.00,3,7596,0.00,6.00,,
3,72,1747.00,5,3121,0.00,5.00,,
3,132,1113.00,7,9581,0.00,3.00,,
3,37,1567.00,2,1917,0.00,1.00,,
3,3,2404.00,3,6449,0.00,2.00,,
3,40,2956.00,13,6615,0.00,6.00,,
3,22,1491.00,5,1969,1.00,4.00,,
3,72,897.00,3,8653,1.00,2.00,,
3,2,1401.00,3,7213,0.00,0.00,,
3,25,838.00,0,12150,1.00,4.00,,
3,74,1569.00,4,4596,1.00,5.00,,
3,24,3265.00,9,1413,0.00,0.00,,
3,3,2480.00,7,13400,1.00,1.00,,
3,103,1475.00,7,7656,0.00,3.00,,
3,63,3195.00,15,6416,1.00,5.00,,
3,22,2459.00,8,13184,1.00,4.00,,
3,25,509.00,13,7414,0.00,2.00,,
3,61,1445.00,5,10333,0.00,1.00,,
3,91,971.00,10,6239,1.00,3.00,,
3,50,2318.00,5,2939,0.00,4.00,,
3,80,2424.00,12,6360,1.00,5.00,,
3,40,601.00,14,13809,1.00,1.00,,
3,123,3220.00,12,12585,1.00,1.00,,
3,52,1026.00,8,12903,1.00,1.00,,
3,71,3334.00,11,2652,0.00,5.00,,
3,121,2341.00,12,7028,0.00,4.00,,
3,14,1659.00,6,6112,0.00,3.00,,
4,102,3285.00,6,7977,0.00,0.00,,
4,121,2833.00,10,6651,1.00,1.00,,
4,71,1750.00,3,1678,1.00,1.00,,
4,51,2052.00,9,6225,0.00,6.00,,
4,14,862.00,2,13443,1.00,2.00,,
4,81,1752.00,6,11938,0.00,4.00,,
4,6,1365.00,14,9363,1.00,6.00,,
4,80,1648.00,15,11067,0.00,2.00,,
4,0,2011.00,11,10224,1.00,0.00,,
4,75,522.00,15,13728,1.00,0.00,,
4,33,2499.00,1,9182,0.00,3.00,,
4,14,1867.00,5,13204,1.00,3.00,,
4,125,1288.00,11,5788,0.00,5.00,,
4,117,3329.00,2,4621,1.00,3.00,,
4,35,1310.00,7,10276,1.00,4.00,,
4,22,2703.00,5,5511,0.00,3.00,,
4,53,3193.00,3,6039,1.00,6.00,,
4,48,2712.00,10,4521,1.00,2.00,,
4,60,3039.00,3,10537,0.00,2.00,,
4,108,1800.00,14,13081,0.00,2.00,,
4,61,2263.00,2,7334,1.00,1.00,,
4,27,1848.00,5,14956,0.00,2.00,,
4,32,2461.00,10,8896,1.00,1.00,,
4,85,1448.00,14,7070,1.00,4.00,,
4,0,1256.00,9,2706,0.00,2.00,,
4,100,1202.00,0,2138,0.00,3.00,,
4,63,873.00,7,11860,1.00,1.00,,
4,30,2337.00,15,2410,0.00,5.00,,
4,11,1191.00,10,5745,0.00,2.00,,
4,81,2685.00,3,9910,0.00,0.00,,
4,37,2796.00,12,10653,1.00,4.00,,
4,133,1621.00,4,14747,1.00,4.00,,
4,91,719.00,6,5636,0.00,6.00,,
4,104,899.00,4,14464,1.00,1.00,,
4,117,1856.00,1,1775,1.00,4.00,,
4,95,2473.00,6,14870,0.00,2.00,,
4,59,631.00,6,12230,0.00,6.00,,
4,86,2950.00,13,7319,1.00,5.00,,
4,92,3209.00,7,12839,1.00,6.00,,
4,35,741.00,5,3768,0.00,1.00,,
4,74,892.00,5,12141,1.00,6.00,,
4,37,3169.00,15,9439,0.00,0.00,,
4,66,3353.00,4,11057,0.00,0.00,,
4,39,3023.00,4,11500,1.00,5.00,,
4,123,2270.00,13,2387,0.00,6.00,,
4,111,2811.00,9,5273,0.00,6.00,,
4,47,2481.00,12,3670,0.00,2.00,,
4,80,2005.00,3,2339,1.00,3.00,,
5,39,1763.00,12,13616,0.00,0.00,,
5,25,1589.00,2,14367,0.00,2.00,,
5,61,1147.00,11,14025,1.00,0.00,,
5,74,3165.00,3,10469,1.00,4.00,,
5,56,2676.00,0,8063,0.00,6.00,,
5,18,2825.00,15,7711,1.00,6.00,,
5,99,2671.00,0,4617,1.00,4.00,,
5,94,1576.00,6,10222,0.00,1.00,,
5,125,1873.00,12,7983,0.00,0.00,,
5,99,3224.00,15,6043,0.00,2.00,,
5,22,2989.00,4,13475,1.00,2.00,,
5,39,1847.00,0,6897,1.00,3.00,,
5,110,1267.00,1,10005,0.00,6.00,,
5,4,891.00,6,8302,1.00,1.00,,
5,123,3114.00,4,2804,0.00,5.00,,
5,0,2752.00,13,6489,0.00,6.00,,
5,0,1880.00,11,1500,1.00,4.00,,
5,85,980.00,9,6150,0.00,2.00,,
5,84,2345.00,13,7556,1.00,1.00,,
5,91,3128.00,15,9170,0.00,4.00,,
5,38,632.00,9,2015,1.00,0.00,,
5,111,616.00,3,13946,1.00,0.00,,
5,30,1658.00,10,5777,1.00,5.00,,
5,91,796.00,6,13939,0.00,3.00,,
5,4,2483.00,13,7474,1.00,0.00,,
5,85,3213.00,2,2473,1.00,0.00,,
5,15,924.00,14,11383,1.00,6.00,,
5,22,3205.00,3,12443,0.00,6.00,,
5,85,878.00,3,7537,1.00,2.00,,
5,49,1515.00,7,2098,0.00,6.00,,
5,99,1106.00,5,13365,0.00,0.00,,
5,39,676.00,14,8844,1.00,0.00,,
5,23,524.00,12,2461,0.00,6.00,,
5,25,2700.00,13,3465,1.00,6.00,,
5,88,1368.00,8,7119,0.00,6.00,,
5,54,2858.00,12,4417,1.00,5.00,,
5,58,2618.00,0,10476,1.00,0.00,,
6,33,1701.00,4,12171,0.00,1.00,,
6,80,2615.00,10,13003,0.00,0.00,,
6,97,1512.00,14,6601,1.00,1.00,,
6,4,809.00,12,14413,1.00,5.00,,
6,58,1987.00,9,5631,1.00,6.00,,
6,120,3228.00,7,11825,0.00,6.00,,
6,114,2513.00,7,6658,1.00,3.00,,
6,9,621.00,11,14656,0.00,6.00,,
6,133,1045.00,5,9628,1.00,0.00,,
6,10,2955.00,0,4216,0.00,5.00,,
6,44,2647.00,5,2267,0.00,4.00,,
6,97,1587.00,15,3193,1.00,0.00,,
6,94,2972.00,11,2743,1.00,1.00,,
6,133,1499.00,9,4926,1.00,5.00,,
6,32,2588.00,10,6657,1.00,3.00,,
6,106,1767.00,5,12165,0.00,4.00,,
6,91,3001.00,13,12931,1.00,2.00,,
6,126,1051.00,12,7840,1.00,0.00,,
6,92,666.00,10,5571,1.00,2.00,,
6,96,2705.00,10,14933,1.00,5.00,,
6,19,896.00,13,7742,0.00,2.00,,
6,105,784.00,7,1490,1.00,2.00,,
6,60,1611.00,2,9300,1.00,4.00,,
6,34,1583.00,14,14603,0.00,0.00,,
6,131,2048.00,11,11991,1.00,5.00,,
6,83,3219.00,3,8871,1.00,1.00,,
6,102,2494.00,15,8024,0.00,1.00,,
6,84,2554.00,1,12092,1.00,5.00,,
6,56,740.00,10,10289,1.00,5.00,,
6,115,2543.00,5,4953,0.00,4.00,,
6,100,1276.00,6,1434,1.00,0.00,,
7,105,1832.00,3,3306,1.00,1.00,,
7,122,2269.00,1,6574,1.00,5.00,,
7,67,1159.00,9,14875,0.00,1.00,,
7,9,2538.00,1,6452,0.00,5.00,,
7,41,2882.00,1,4245,0.00,0.00,,
7,87,1597.00,10,1800,0.00,6.00,,
7,20,1047.00,3,2712,0.00,6.00,,
7,90,2740.00,5,2508,0.00,5.00,,
7,32,3291.00,0,13932,1.00,6.00,,
7,27,3293.00,12,5098,0.00,5.00,,
7,20,2876.00,6,12386,0.00,5.00,,
7,63,1296.00,6,10814,1.00,1.00,,
7,38,632.00,4,10819,1.00,5.00,,
7,51,3228.00,11,9233,1.00,4.00,,
7,91,1321.00,14,7823,0.00,1.00,,
7,21,2505.00,5,8929,1.00,6.00,,
7,133,3133.00,8,3652,1.00,3.00,,
7,67,3011.00,9,13628,0.00,5.00,,
7,75,1547.00,12,3217,1.00,1.00,,
7,104,1677.00,11,14792,0.00,6.00,,
7,61,550.00,9,13219,0.00,4.00,,
7,101,1849.00,6,13262,1.00,5.00,,
7,2,3307.00,3,10160,0.00,1.00,,
7,102,1934.00,12,7340,1.00,5.00,,
7,77,2259.00,2,4818,0.00,6.00,,
7,104,1217.00,1,14139,0.00,4.00,,
7,57,3161.00,12,9226,1.00,6.00,,
7,45,2560.00,11,2436,1.00,5.00,,
7,55,1995.00,3,10949,1.00,1.00,,
7,126,1224.00,7,10974,1.00,3.00,,
7,48,2269.00,8,13960,1.00,4.00,,
7,66,1034.00,1,9470,0.00,6.00,,
7,100,1704.00,1,3940,1.00,5.00,,
7,72,2244.00,3,14269,1.00,5.00,,
7,58,1394.00,10,12289,0.00,0.00,,
7,30,923.00,6,4280,0.00,6.00,,
7,38,1627.00,3,11832,1.00,0.00,,
8,77,689.00,13,5603,0.00,5.00,,
8,51,1595.00,15,1948,1.00,5.00,,
8,25,2801.00,11,2864,0.00,6.00,,
8,75,534.00,0,11017,1.00,0.00,,
8,47,2696.00,6,5878,0.00,5.00,,
8,45,3176.00,1,4239,1.00,6.00,,
8,35,2991.00,4,14375,0.00,0.00,,
8,97,1450.00,6,11890,1.00,3.00,,
8,27,1699.00,6,4575,0.00,4.00,,
8,41,653.00,5,2955,0.00,5.00,,
8,67,1029.00,9,2960,1.00,5.00,,
8,43,960.00,3,9923,0.00,0.00,,
8,102,2961.00,14,9296,0.00,6.00,,
8,28,743.00,2,7654,0.00,6.00,,
8,127,2494.00,7,11944,1.00,2.00,,
8,24,1530.00,8,13658,0.00,6.00,,
8,16,3128.00,1,13562,1.00,2.00,,
8,67,1552.00,8,13179,1.00,5.00,,
8,101,2625.00,5,4009,1.00,2.00,,
8,117,2141.00,2,7040,0.00,2.00,,
8,74,1852.00,14,5220,1.00,0.00,,
8,15,2176.00,2,12321,0.00,0.00,,
8,120,1240.00,10,8426,0.00,3.00,,
8,63,882.00,0,5965,1.00,4.00,,
8,83,3130.00,2,12701,0.00,5.00,,
8,80,1960.00,3,8016,1.00,1.00,,
8,56,550.00,14,14518,1.00,0.00,,
8,46,3244.00,4,12158,0.00,1.00,,
8,20,3076.00,14,11753,0.00,4.00,,
8,58,2467.00,0,7006,1.00,0.00,,
8,94,522.00,13,14270,0.00,4.00,,
8,102,2992.00,12,7836,1.00,0.00,,
8,75,749.00,12,7975,0.00,0.00,,
8,131,2998.00,1,10769,1.00,0.00,,
8,98,2619.00,4,2694,0.00,5.00,,
8,96,1720.00,12,8281,0.00,6.00,,
8,54,2228.00,10,4617,1.00,5.00,,
8,45,1248.00,1,3700,0.00,3.00,,
8,0,1591.00,3,6083,1.00,3.00,,
8,65,1785.00,15,6902,0.00,1.00,,
8,93,2090.00,2,4377,0.00,2.00,,
8,34,939.00,5,3322,1.00,4.00,,
8,82,2079.00,6,4369,0.00,2.00,,
9,76,3233.00,14,3916,1.00,4.00,,
9,83,3221.00,13,3827,0.00,2.00,,
9,106,2735.00,8,4425,0.00,3.00,,
9,12,2064.00,3,1278,1.00,0.00,,
9,31,1618.00,10,7705,1.00,4.00,,
9,120,1461.00,6,14549,1.00,1.00,,
9,88,1984.00,0,5902,0.00,6.00,,
9,93,698.00,3,4941,1.00,6.00,,
9,122,2549.00,14,5301,1.00,2.00,,
9,40,1246.00,15,3450,1.00,2.00,,
9,3,1122.00,10,5814,0.00,1.00,,
9,110,3274.00,14,5081,0.00,4.00,,
9,83,1798.00,2,12245,1.00,0.00,,
9,85,2590.00,1,11781,1.00,5.00,,
9,21,1696.00,10,5595,1.00,4.00,,
9,94,2004.00,5,9996,1.00,5.00,,
9,23,2162.00,13,12854,0.00,3.00,,
9,132,536.00,0,8292,0.00,5.00,,
9,126,1029.00,14,8894,1.00,0.00,,
9,109,2037.00,1,5690,1.00,6.00,,
9,11,1488.00,14,7511,0.00,3.00,,
9,5,994.00,5,2373,0.00,1.00,,
9,120,2657.00,1,10653,0.00,1.00,,
9,107,1973.00,3,9760,1.00,2.00,,
9,41,1932.00,1,13414,0.00,4.00,,
9,67,2757.00,2,13046,0.00,0.00,,
9,60,1692.00,4,8218,1.00,2.00,,
9,5,3113.00,12,2557,1.00,0.00,,
9,50,639.00,9,13822,0.00,6.00,,
9,28,2221.00,14,12473,1.00,6.00,,
9,111,743.00,7,4615,0.00,2.00,,
9,115,1415.00,0,8708,0.00,6.00,,
9,42,1655.00,11,11796,1.00,5.00,,
9,70,540.00,7,6036,0.00,3.00,,
9,83,2750.00,14,8424,0.00,2.00,,
9,64,2101.00,7,4255,0.00,1.00,,
9,118,1926.00,10,14482,1.00,6.00,,
10,114,1984.00,0,2638,0.00,3.00,,
10,35,2823.00,11,4957,0.00,1.00,,
10,78,3310.00,12,12547,1.00,6.00,,
10,10,3106.00,6,1895,1.00,4.00,,
10,130,2982.00,5,4389,1.00,1.00,,
10,109,2644.00,8,5226,0.00,2.00,,
10,39,701.00,10,1528,0.00,1.00,,
10,130,868.00,0,14055,0.00,3.00,,
10,64,633.00,10,13568,0.00,3.00,,
10,16,2380.00,2,10016,0.00,6.00,,
10,20,621.00,13,14110,0.00,1.00,,
10,9,2015.00,5,2915,0.00,5.00,,
10,38,1468.00,11,13191,0.00,2.00,,
10,3,2849.00,2,5303,1.00,3.00,,
10,11,2514.00,13,5215,0.00,2.00,,
10,43,2285.00,15,10888,0.00,2.00,,
10,7,2916.00,4,14162,1.00,1.00,,
10,38,2065.00,15,4482,1.00,4.00,,
10,47,3252.00,0,3370,1.00,0.00,,
10,116,1236.00,9,6149,0.00,2.00,,
10,82,1165.00,9,6151,0.00,4.00,,
10,133,629.00,6,10975,1.00,4.00,,
10,126,891.00,5,1587,0.00,0.00,,
10,100,1923.00,3,4477,1.00,1.00,,
10,53,1644.00,10,5194,0.00,0.00,,
10,101,1912.00,1,13612,0.00,3.00,,
10,17,2045.00,11,13699,1.00,3.00,,
10,121,1788.00,2,13423,0.00,0.00,,
10,126,2199.00,7,12785,1.00,6.00,,
10,67,1017.00,12,8142,1.00,1.00,,
10,95,2604.00,2,10746,1.00,1.00,,
10,72,1519.00,11,13636,1.00,2.00,,
10,50,1334.00,9,14774,1.00,1.00,,
10,120,1168.00,6,9634,1.00,4.00,,
10,74,2112.00,3,6294,1.00,6.00,,
10,56,1711.00,5,11791,1.00,3.00,,
10,68,2852.00,13,4692,1.00,6.00,,
10,71,1724.00,6,10090,0.00,1.00,,
10,81,1736.00,0,13576,0.00,6.00,,
10,20,1846.00,4,12559,1.00,2.00,,
10,118,2038.00,9,8503,1.00,5.00,,
10,7,3124.00,3,8010,0.00,6.00,,
10,95,2933.00,1,10173,1.00,1.00,,
10,102,1118.00,13,8577,0.00,5.00,,
10,86,1519.00,0,8353,1.00,6.00,,
10,77,511.00,8,14254,1.00,1.00,,
10,21,693.00,12,14380,0.00,5.00,,
10,62,2199.00,11,1682,1.00,6.00,,
10,91,3005.00,9,4833,0.00,6.00,,
10,105,1731.00,4,2251,1.00,0.00,,
10,8,2791.00,1,8265,1.00,4.00,,
10,43,2088.00,7,8488,1.00,5.00,,
11,84,2106.00,8,10774,1.00,4.00,,
11,119,3027.00,7,9363,0.00,2.00,,
11,104,2852.00,5,14763,1.00,5.00,,
11,15,717.00,13,6146,1.00,0.00,,
11,38,3068.00,5,9978,0.00,0.00,,
11,106,2678.00,4,14277,1.00,6.00,,
11,8,886.00,1,14650,0.00,4.00,,
11,89,3079.00,9,13923,1.00,1.00,,
11,103,3318.00,5,1699,1.00,2.00,,
11,38,576.00,9,11063,0.00,1.00,,
11,89,2226.00,10,10099,1.00,2.00,,
11,83,1881.00,0,13565,1.00,3.00,,
11,71,684.00,5,9422,0.00,6.00,,
11,132,2598.00,3,14525,0.00,6.00,,
11,75,2005.00,15,12272,0.00,1.00,,
11,56,2386.00,2,4438,0.00,5.00,,
11,15,2678.00,10,7226,0.00,4.00,,
11,13,1036.00,9,7724,1.00,4.00,,
11,84,741.00,2,10349,1.00,6.00,,
11,16,1641.00,11,6991,0.00,4.00,,
11,106,612.00,10,10071,1.00,6.00,,
11,70,1593.00,8,5356,0.00,1.00,,
11,45,3018.00,15,5971,1.00,6.00,,
11,101,1929.00,10,5616,1.00,4.00,,
11,114,610.00,6,3749,0.00,5.00,,
11,43,2276.00,7,10959,1.00,6.00,,
11,22,2744.00,3,9999,1.00,6.00,,
11,11,3113.00,4,11348,1.00,1.00,,
11,62,1664.00,2,14393,1.00,0.00,,
11,93,3072.00,1,11852,1.00,0.00,,
11,118,926.00,2,6360,0.00,6.00,,
12,67,795.00,9,7502,0.00,0.00,,
12,102,703.00,12,12709,1.00,0.00,,
12,67,1546.00,15,11068,1.00,2.00,,
12,106,2038.00,8,4462,1.00,0.00,,
12,87,2314.00,12,7356,0.00,3.00,,
12,88,708.00,14,6081,1.00,1.00,,
12,12,569.00,0,5560,1.00,1.00,,
12,116,1168.00,3,3862,0.00,6.00,,
12,115,2351.00,14,10601,1.00,5.00,,
12,43,1207.00,10,2861,0.00,4.00,,
12,54,3113.00,8,8097,0.00,1.00,,
12,97,2116.00,8,7096,1.00,0.00,,
12,35,998.00,4,2241,1.00,2.00,,
12,88,682.00,8,5082,0.00,6.00,,
12,56,2216.00,2,3430,0.00,2.00,,
12,131,1844.00,7,10647,1.00,1.00,,
12,133,1249.00,7,10196,1.00,1.00,,
12,9,2590.00,5,5561,1.00,3.00,,
12,110,2907.00,8,7301,0.00,1.00,,
12,130,2959.00,7,8006,0.00,2.00,,
12,121,992.00,7,7910,0.00,6.00,,
12,26,2315.00,8,5623,1.00,6.00,,
12,10,741.00,11,11835,0.00,0.00,,
12,116,3262.00,14,4696,1.00,1.00,,
12,61,2522.00,3,4532,1.00,4.00,,
12,64,2561.00,0,2673,0.00,4.00,,
12,25,3271.00,9,9438,0.00,1.00,,
12,49,751.00,9,14299,1.00,5.00,,
12,74,2636.00,9,14491,1.00,2.00,,
12,99,3217.00,7,3824,0.00,5.00,,
12,50,2181.00,10,3907,1.00,5.00,,
12,61,1907.00,13,12395,0.00,4.00,,
12,47,1987.00,0,3307,1.00,6.00,,
12,30,2796.00,11,9720,1.00,3.00,,
13,91,919.00,13,11296,0.00,6.00,,
13,122,1467.00,11,3670,0.00,2.00,,
13,113,538.00,6,13609,0.00,3.00,,
13,61,2037.00,4,13022,1.00,5.00,,
13,21,2709.00,5,3882,1.00,0.00,,
13,61,2441.00,14,10142,1.00,2.00,,
13,41,935.00,15,5198,1.00,3.00,,
13,0,1907.00,3,13669,1.00,6.00,,
13,30,1570.00,8,13170,0.00,3.00,,
13,67,1475.00,12,9362,1.00,4.00,,
13,44,1708.00,11,6749,1.00,3.00,,
13,75,1667.00,2,2588,1.00,3.00,,
13,28,1596.00,15,13486,1.00,0.00,,
13,21,1214.00,9,2626,1.00,5.00,,
13,81,2225.00,4,10525,1.00,0.00,,
13,84,2056.00,6,6991,1.00,4.00,,
13,58,766.00,10,8696,1.00,3.00,,
13,66,751.00,11,13450,1.00,3.00,,
13,16,2695.00,0,13717,1.00,2.00,,
13,22,1754.00,11,8004,0.00,4.00,,
13,11,3181.00,1,14701,1.00,3.00,,
13,126,2431.00,7,1705,1.00,6.00,,
13,114,2239.00,6,5327,0.00,1.00,,
13,130,2975.00,1,14030,1.00,1.00,,
13,98,1119.00,4,7452,1.00,6.00,,
13,85,2219.00,9,2993,1.00,1.00,,
13,123,1567.00,6,12646,1.00,4.00,,
13,109,834.00,0,12305,1.00,6.00,,
13,79,2823.00,12,12831,0.00,6.00,,
13,14,2868.00,6,10217,1.00,4.00,,
13,61,3106.00,1,6321,0.00,5.00,,
13,112,1369.00,7,9067,1.00,3.00,,
13,60,784.00,14,14946,0.00,3.00,,
13,8,885.00,6,9711,0.00,2.00,,
13,37,533.00,14,6482,1.00,2.00,,
13,64,596.00,7,2236,1.00,3.00,,
13,39,624.00,6,2856,1.00,0.00,,
14,38,748.00,6,12428,1.00,6.00,,
14,102,3079.00,10,3362,0.00,6.00,,
14,133,1103.00,1,2908,0.00,3.00,,
14,120,2787.00,5,3921,1.00,1.00,,
14,3,2837.00,9,13844,0.00,3.00,,
14,19,2483.00,12,6886,1.00,0.00,,
14,63,2269.00,8,9832,0.00,2.00,,
14,77,2749.00,15,2055,1.00,0.00,,
14,42,1616.00,0,8982,0.00,3.00,,
14,114,1246.00,9,3965,1.00,0.00,,
14,25,2312.00,6,7920,1.00,2.00,,
14,129,3238.00,9,8212,1.00,6.00,,
14,133,2782.00,6,6819,1.00,0.00,,
14,53,2734.00,11,5412,1.00,4.00,,
14,131,1263.00,10,8969,0.00,5.00,,
14,114,542.00,5,5312,0.00,5.00,,
14,13,1087.00,1,8517,0.00,2.00,,
14,66,2743.00,14,12299,1.00,0.00,,
14,107,1572.00,14,9447,1.00,6.00,,
14,32,2921.00,12,1390,1.00,4.00,,
14,59,950.00,13,7537,1.00,3.00,,
14,31,944.00,14,11169,0.00,5.00,,
14,97,2579.00,1,3797,1.00,2.00,,
14,20,3229.00,15,12506,1.00,5.00,,
14,96,1568.00,15,11242,1.00,1.00,,
14,0,760.00,5,11764,0.00,1.00,,
14,131,3076.00,11,2346,0.00,1.00,,
14,89,804.00,13,9746,0.00,3.00,,
14,83,2249.00,1,1525,0.00,4.00,,
14,46,2412.00,10,8833,0.00,0.00,,
15,50,3108.00,5,13703,0.00,5.00,,
15,103,582.00,8,3896,1.00,5.00,,
15,125,3237.00,13,13050,0.00,5.00,,
15,29,2150.00,1,8546,0.00,0.00,,
15,93,2928.00,0,2203,1.00,0.00,,
15,44,2810.00,0,7074,0.00,0.00,,
15,16,2869.00,10,2018,1.00,1.00,,
15,92,929.00,5,11136,0.00,6.00,,
15,58,1107.00,6,14458,0.00,5.00,,
15,103,2856.00,6,3715,1.00,5.00,,
15,21,552.00,15,4665,0.00,3.00,,
15,5,2557.00,11,9002,0.00,4.00,,
15,35,2545.00,13,1759,1.00,3.00,,
15,76,1034.00,15,12879,0.00,3.00,,
15,94,1068.00,12,4821,0.00,3.00,,
15,55,2092.00,2,4488,1.00,2.00,,
15,91,2219.00,6,9020,1.00,0.00,,
15,114,1397.00,9,4912,0.00,2.00,,
15,89,3287.00,3,14214,1.00,4.00,,
15,32,3134.00,0,7610,1.00,6.00,,
15,0,653.00,1,9056,1.00,3.00,,
15,94,2329.00,15,8783,0.00,2.00,,
15,13,826.00,6,8089,1.00,3.00,,
15,83,2813.00,13,7128,1.00,0.00,,
15,99,2006.00,13,7925,0.00,1.00,,
15,124,1641.00,3,10338,0.00,5.00,,
15,58,2040.00,4,13079,0.00,4.00,,
15,58,1768.00,2,2145,1.00,2.00,,
15,66,2010.00,10,11976,1.00,6.00,,
15,88,1112.00,1,11397,1.00,4.00,,
15,108,1096.00,5,5056,0.00,2.00,,
15,68,2327.00,13,12729,0.00,1.00,,
